"Timestamp","How old are you?
","Which gender do you identify as?","Where are you from?","Where do you live?","What is your occupation status?","What is your primary mode of transportation for daily commuting?","How far is your typical daily commute in terms of miles or kilometers?","On average, how much time do you spend commuting each day?","Do you own a personal vehicle (car, motorcycle, bicycle)? If so, what type?","How frequently do you use public transportation (bus, train, subway)?","What is your preferred mode of transportation for longer distances (e.g., intercity travel)?","How satisfied are you with the current transportation options available in your area?","Would you be open to trying new transportation options if they were introduced in your area?","What factors influence your choice of transportation (e.g., convenience, cost, environmental impact)?","Would you be willing to use alternative transportation methods for environmental reasons (e.g., walking, biking)?","Have you ever encountered challenges with your chosen mode of transportation (e.g., delays, breakdowns)?","How would you rate the accessibility of transportation options for individuals with mobility challenges in your area?","In your opinion, in what areas can the  improvements be made to the transportation infrastructure in your area?","Have you considered using electric or hybrid vehicles for your daily commute?","On a scale of 1 to 10, how important is environmental sustainability in your transportation choices?","How often do you engage in active transportation (e.g., walking, biking) for leisure or exercise?","Would you be willing to pay a premium for environmentally friendly transportation options (e.g., electric vehicles, eco-friendly fuels)?","What factors would encourage you to use public transportation more frequently?","In your opinion, how well does the current transportation infrastructure accommodate cyclists and pedestrians?","Do you use any mobile apps or technology to plan or optimize your daily commute?","Do you think there is a need for increased investment in public transportation infrastructure in your area?","Have you ever participated in a transportation-related survey or focus group before this one?","How does the cost of transportation impact your mode of choice? Are you willing to pay a premium for specific benefits?","How important is safety in influencing your transportation decisions?","How do you perceive public transportation in terms of comfort, convenience, and overall experience?","Do you prefer a single mode of transportation or a combination (e.g., walking + public transit)?","Have you ever participated in carpooling or ride-sharing programs?","Have you ever used a bike-sharing or scooter-sharing service?","How many times per week do you use your personal vehicle for non-commuting purposes?","How important is parking availability when choosing your mode of transportation?","",""
"2024/01/18 11:35:30 PM GMT+3","18-25","Male","Tunisia","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, definitely","Cost","Probably not","Frequently","Somewhat accessible","","No","5","Daily","No","Lower cost","Neutral","Yes","5","No","","","","Single mode","No, never","Yes","Daily","Not applicable (I do not own a personal vehicle)","Public transit (bus, train, subway)","Somewhat changed"
"2024/01/19 12:00:55 AM GMT+3","26-35","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Train","4","Yes, definitely","Cost","Probably","Rarely","Very accessible","Public transports as bus should be free for students","Yes","8","2-3 times a week","No","Lower cost","Adequately","Yes","4","No","","","","Combination of modes","No, never","No","Never","Very important","Public transit (bus, train, subway)","Significantly changed"
"2024/01/25 2:28:06 PM GMT+3","26-35","Male","Italy","Italy","Student","Car","Less than 8 km (5 miles)","30-60 minutes","Car","Never","Train","5","Yes, probably","Cost","Probably","Frequently","Not very accessible","# of vehicles (transport frequency) can be increased","Yes","5","Daily","No","Lower cost","Neutral","Occasionally","5","No","Prefer lower-cost options","Important","Negative","Single mode","No, never","Yes","2-3 times a week","Very important","",""
"2024/01/25 2:28:08 PM GMT+3","26-35","Male","India","Italy","Self employed","Motorcycle","Less than 8 km (5 miles)","60-90 minutes","Motorcycle","Daily","Car","5","Yes, definitely","Time efficiency","Definitely not","Rarely","Somewhat accessible","# of lines can be increased","No","1","Rarely","No","Improved reliability","Adequately","Daily","5","No","Neutral","Very Important","Positive","It depends on the circumstances","Yes, occasionally","No","Daily","Very important","",""
"2024/01/25 2:32:13 PM GMT+3","26-35","Male","Kenya","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","15-30 minutes","I do not own a personal vehicle","2-3 times a week","Airplane","4","Yes, probably","Convenience","Neutral","Occasionally","Neutral","# of vehicles (transport frequency) can be increased","No","7","2-3 times a week","No","Improved reliability","Adequately","Daily","3","No","Prefer lower-cost options","Important","Neutral","Single mode","Yes, occasionally","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 2:36:23 PM GMT+3","18-25","Female","Jordan","Italy","Student","Car","Less than 8 km (5 miles)","15-30 minutes","Car","Rarely","Car","4","Maybe","Convenience","Probably","Rarely","Not very accessible","# of vehicles (transport frequency) can be increased","Yes","7","Daily","Yes","Reliability and space, I do not like getting sick if I don't have to and a crowded bus doesn't support my case. Also bus 59 is the only one I'd rlly need and it broke down or just seemed dangerous too many times.","Poorly","Regularly","3","No","Cost is a consideration but not a deciding factor","Very Important","Negative","It depends on the circumstances","Yes, occasionally","Yes","Once a week","Very important","",""
"2024/01/25 2:37:09 PM GMT+3","26-35","Male","Panama","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","60-90 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, probably","Time efficiency","Probably not","Frequently","Somewhat accessible","Types of transport can be increased","Yes","1","2-3 times a week","No","Better connectivity","Adequately","Daily","5","No","Prefer lower-cost options","Neutral","Neutral","Combination of modes","Yes, occasionally","Yes","Never","Very important","",""
"2024/01/25 2:40:46 PM GMT+3","26-35","Male","Costa Rica","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Maybe","Environmental impact","Definitely","Occasionally","Neutral","Types of transport can be increased","No","10","Daily","Yes","Better connectivity","Adequately","Daily","4","No","Willing to pay a premium","Important","Neutral","Combination of modes","No, never","No","Never","Very important","",""
"2024/01/25 2:42:03 PM GMT+3","18-25","Male","Turkey","Turkey","Student","Car","I do not have a daily commute","I do not have a daily commute","Car","Rarely","Car","5","Probably not","Time efficiency","Neutral","Rarely","Neutral","# of lines can be increased","No","3","Never","No","Improved reliability","Poorly","Rarely","4","No","Prefer lower-cost options","Very Important","Neutral","Single mode","No, never","Yes","2-3 times a week","Very important","",""
"2024/01/25 2:44:47 PM GMT+3","18-25","Male","Italy","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","60-90 minutes","Car","Daily","Car","2","Yes, definitely","Cost","Probably not","Frequently","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","4","2-3 times a week","No","Improved reliability","Adequately","Regularly","3","No","Prefer lower-cost options","Important","Neutral","Single mode","No, never","No","Rarely","Neutral","",""
